Repository,Description
Cysharp/ProcessX,simplify call external process async streams csharp eighty
ChilliCream/graphql-workshop,getting started graphql aspnet core hot chocolate workshop
ProfessorJTJ/HISuite-Proxy,modifying hisuite manipulating connection data install roms officially get released
plackyhacker/Shellcode-Encryptor,simple code encryptordecryptorexecutor bypass anti virus
bohops/SharpRDPHijack,proofofconcept remote desktop rdp session hijack utility
MythicAgents/Apollo,net framework forty windows agent
0xthirteen/SharpStay,net project installing persistence
YukiCoco/YukiDrive,onedrive sharepoint
n00mkrad/nmkoder,media encoding muxing analysis toolkit windows
Collective-Software/ClickPaste,windows ten notification area app csharp paste clipboard contents keystrokes whatever location click
google/play-unity-plugins,google play plugins unity provide csharp apis accessing various play services
BoyanTata/AP01,ata
ultranijia/EmbyCrack,emby
Azure/azure-functions-dotnet-worker,azure functions outofprocess net language worker
Heart-Sky/ListRDPConnections,csharp rdp
sebastienros/parlot,fast lightweight parser creation tools
andyvorld/LGSTrayBattery,tray app used track battery levels wireless logitech mouse
SkyChenSky/Sikiro,capskyapmwebapiclientchloe
AaronRobinsonMSFT/DNNE,prototype native exports net assembly
anjoy8/Student.Achieve.Manager,netcore thirtyone vue eleuistar100
microsoft/SmartKG,project accepts excel files input contains description knowledge graph vertexes edges convert inmemory graph store project implements apis searchfilterget nodes relations inmemory knowledge graph project also provides dialog management framework enable chatbot based knowledge graph
r3nhat/GRAT2,developed grat2 command control c2 project learning purpose
thunderbird-team/ThunderBird_OpenSource,thunderbird opensource
kunzmi/ImageStackAlignator,implementation googles handheld multiframe superresolution algorithm pixel three pixel four camera
SingletonSean/wpf-tutorials,source code singletonsean wpf tutorials youtube
pastasfuture/com.hauntedpsx.render-pipelines.psx,scriptable render pipeline emulating playstation1style graphics contemporary hardware
0xthirteen/SharpMove,net project performing authenticated remote execution
Flangvik/AMSI.fail,csharp azure function http trigger generates obfuscated powershell snippets break disable amsi current process
CombatExtended-Continued/CombatExtended,combat extended mod rimworld
TanvirArjel/CleanArchitecture,repository contains implementation domaindriven design clear architecture aspnet core
keijiro/Rcam2,remote depth camera ipad pro lidar sensor
markjprice/cs9dotnet5,repository packt publishing book titled csharp nine net five modern crossplatform development mark j price
marijnz/NativeQuadtree,quadtree native collection unity dots
flipswitchingmonkey/FlexASIO_GUI,simple configuration gui flexasio
Unity-Technologies/UIToolkitUnityRoyaleRuntimeDemo,sample project introduce use ui toolkit runtime
Natsukage/PostNamazu,fourteen
UndertakerBen/PorEdgeUpd,portable edge chromium updater
whuanle/CZGL.SystemInfo,net corecpu
eliemichel/BMeshUnity,unity package make runtime procedural mesh generation flexible
martinchrzan/ColorPicker,windows systemwide color picker
Hzllaga/JsLoader,jsshellcode
m-jovanovic/event-reminder,net core web api seamless event organization configurable notification systems
akash-network/awesome-akash,awesome list akash deployment examples
GoSecure/WSuspicious,wsuspicious tool abuse insecure wsus connections privilege escalations
zcgonvh/CVE-2020-0688,exploit detect tools cve20200688
AlanMorel/MapleServer2,maplestory two emulator
mubix/solarflare,solarwinds orion account audit password dumping utility
Cysharp/UnitGenerator,csharp source generator create valueobject inspired units measure
TheAllenChou/unity-ray-marching,ray marching sandbox
CuriousDrive/BookStores,bookstores blazor server app using aspnet core backend service mssql database code samples authentication authorization datagrid database operationsand much please follow intrsuctions set machine
jorgejgnz/HPTK,hand physics toolkit
DrFlower/Unity-Obfuscator,unity
PowerShell/SecretManagement,powershell module consistent usage secrets different extension vaults
efcore/EFCore.CheckConstraints,entity framework core plugin automatically add check constraints various situations
mitchmoser/SharpShares,multithreaded csharp net assembly enumerate accessible network shares domain
hexthedev/OpenAi-Api-Unity,integration openai api unity
PacktPublishing/The-Azure-Cloud-Native-Architecture-Mapbook,azure cloud native architecture mapbook published packt
roubachof/Sharpnado.Shadows,add many custom shadows color offset blur neumorphism like xamarinforms view android ios uwp
microsoft/OSSGadget,collection tools analyzing open source packages
jorgejgnz/HPTK-Sample,sample project using hptk
AndnixSH/Il2CppDumper-GUI,simple gui version il2cppdumper
microsoft/onnxruntime-training-examples,examples using onnx runtime model training
ShinyHobo/BG3-Modders-Multitool,utility quickly generating baldurs gate three mod packs unpacked workspace among things project open source read license
EdwinVW/dapr-traffic-control,simple sample application experimenting dapr
jarjin/FinalFramework,gameplay
sergioabreu-g/active-ragdolls,active ragdolls unity
ValveSoftware/unity-xr-plugin,openvr plugin unitys xr api
silverua/slay-the-spire-map-in-unity,implementation slay spire map unity3d
ustayready/SharpHose,asynchronous password spraying tool csharp windows environments
googlevr/cardboard-xr-plugin,google cardboard xr plugin unity
ToughNutToCrack/ARWT,library allows use unity build ar web applications working bridge unity best ar libraries available web
yasirkula/UnityNativeFilePicker,native unity plugin importexport files fromto various document providers android ios
toniebox-reverse-engineering/teddy,tool dump existing files famous audio box create custom ones
jfmaes/SharpZipRunner,executes position independent shellcode encrypted zip
hai-vr/combo-gesture-expressions-av3,attach face expressions hand gestures make react avatars 30s features including contacts physbones osc
ivaylokenov/Architecture-of-ASP.NET-Core-Microservices-Applications,architecture aspnet core microservices applications
CoretechR/Keybon,adaptive macro keyboard
rxwx/chlonium,chromium cookie import export tool
EasyAbp/AbpHelper.CLI,providing code generation features help develop applications modules abp framework
miyconst/Mi899,tool set chinese x99 motherboards
Steven-Cannavan/URP_ScreenSpacePlanarReflections,simple example implementing screen space planar reflections renderfeature
Gaxil/Unity-AlembicToVAT,alembic vat vertex animation texture mini tool
NetSPI/ESC,evil sql client esc interactive net sql console client enhanced sql server discovery access data exfiltration features esc handy sql client daily tasks originally designed targeting sql servers penetration tests red team engagements intent project provide exe also sample files execution mediums like msbuild powershell
andrewlock/asp-dot-net-core-in-action-2e,source code examples aspnet core action second edition
gdquest-demos/godot-design-patterns,code design patterns godot gdscript state machines likes
Shogan/kube-chaos,chaos engineering style game seek destroy kubernetes pods twinstick shmup style
ShootMe/FallGuysStats,fall guys stats tracker
jglim/UnlockECU,free opensource ecu seedkey unlocking tool
ProfessionalCSharp/ProfessionalCSharp2021,source code professional csharp net two thousand twentyone edition updates csharp eleven net seven
Kink3d/kMotion,motion blur unitys universal render pipeline
Oaz/AvaloniaGraphControl,graph layout panel avaloniaui
dreamCirno/Hollow-Knight-Imitation,
FontStashSharp/FontStashSharp,csharp port
EasyAbp/EShop,abp application module group provides basic eshop service
imazen/imageflow-server,superfast image server speed site deploy microservice serverless embeddable
AaronKelley/DellFanManagement,suite tools managing fans many dell laptops
bats3c/EvtMute,apply filter events reported windows event logging
godotengine/godot-csharp-visualstudio,godot csharp extension visual studio
360-Linton-Lab/Telemetry,windows telemetry
Ishaan35/Unity3D-Mario-Kart-Racing-Game,3d mario kart game created unity game engine csharp kart racer supports items antigravity mode computer players underwater mode realtime shadows lighting
microsoft/Tools-for-Health-Data-Anonymization,set tools helping data fhir format anonymization
haolange/InfinityRenderPipeline,graphics research unity scriptable render pipeline
zmjack/Chinese,
ina-amagami/OverdrawForURP,scene overdraw universal render pipeline
yupingyong/kite.gateway,yarpapi
Mutagen-Modding/Synthesis,patcher pipeline framework gui run collections codebased mods create content customized load order
microsoft/winget-cli-restsource,project aims provide reference implementation creating rest based package source winget client
nukadelic/UnityEditorIcons,build unity editor icons
madskristensen/Tweakster,visual studio extension
VictorNicollet/NoAlloq,linq span without memory allocations
keijiro/NNCam,virtual background unity barracuda
roubachof/Sharpnado.CollectionView,performant list view supporting grid horizontal vertical layout drag drop reveal animations
Gameslinx/Tessellation,tessellation triplanar terrain shader planetary terrain
needle-tools/shadergraph-markdown,markdownlike syntax shadergraph properties make better material inspectors
zulubo/SpecularProbes,bake specular highlights unity reflection probes allowing baked lights cast sharp specular highlights free
sf197/GetPwd,csharpnavicatteamviewxshellsecurecrt
OnClick9927/IFramework,simple csharp framework
oskardudycz/WebApiWith.NET,samples resources design webapi net
Tycx2ry/SweetPotato_CS,sweetpotatocobaltstrike v40
KennanChan/Revit.Async,use taskbased asynchronous pattern tap run revit api code execution context
BeatTogether/BeatTogether,multiplayer private server modding community supports crossplay pc quest
checkymander/Zolom,csharp executable embedded python used reflectively run python code systems without python installed
roubachof/Sharpnado.TaskLoaderView,free isbusytrue taskloaderview ui component handles ui loading state loading error result notification removes pain async loading view models try catch async void isbusy haserrors base view models thanks brother taskloadernotifier
GhostPack/Lockless,lockless allows copying locked files
akauper/Addressables-AssetManager,preloading synchronicity pooling unity addressables
fhlsteven/CLR_via_CSharp,clr via csharp
sbski/Renoir-Mobile-Tuning,control power temperature limits amd renoir powered laptops
poerin/Stroke,mouse gestures
BinaryScary/NET-Obfuscate,obfuscate ecma cil net il assemblies evade windows defender amsi
YukiCoco/CheapSteam,cheap steam steam buff
keypax/object-pooling-in-unity-demo,demo project shows custom implementation object pooling used upcoming game pelagos rise greece
microsoft/durabletask-netherite,new engine durable functions
yahiaetman/URPCustomPostProcessingStack,customizable postprocessing renderer feature universal render pipeline
Fewes/MeshDecal,simple mesh decal component unity
Kink3d/kPooling,customizable object pooling unity
Cysharp/DFrame,distributed load testing framework net unity
mixandjam/AC-Dialogue,recreating dialogue system animal crossing
shanselman/PowerPointToOBSSceneSwitcher,net core based scene switcher connects obs changes scenes based note meta data put obsyour scene name first line notes ensure obs web sockets server running app change scene change powerpoint slides
rahulsahay19/eCommerce-App,ecommerce app using net core thirtyone angular nine
upscalebaby/generic-serializable-dictionary,minimalist dictionary unity two thousand twenty native look feel
PeyShine/Demo.MicroServer,aspdotnetcoreswaggerconsulpollyocelotidentityserver4exceptionlessapolloskywalking
Jellevermandere/4D-Raymarching,unity framework create spacial four dimentional games using raymarching
RedCursorSecurityConsulting/CVE-2020-0668,use cve20200668 perform arbitrary privileged file move operation
med0x2e/NoAmci,using dinvoke patch amsidll order bypass amsi detections triggered loading net tradecraft via assemblyload
XINCGer/LitJson4Unity,unitylitjson
keremvaris/Sennedjem,sennedjem cqrs command query responsibility segregation yaklasmn benimseyen solid prensiplerini clean architecture yontemlerini odaklayan bir yazlm gelistirme alt yapsdr rabbitmq elasticsearch vb araclara entegre olmak konusunda cok yeteneklidir
Azure/Commercial-Marketplace-SaaS-Accelerator,reference example sample code developers interested publishing transactable software aservice offers microsoft commercial marketplace
securesean/DecryptAutoLogon,command line tool extractdecrypt password stored lsa sysinternals autologon
gasgiant/Camera-Shake,camera shake unity
Anapher/Strive,open source video conferencing platform
Geektoolkit/Dynaframe3,dynamic photo video slideshow system sbc raspberry pi
am0nsec/SharpHellsGate,csharp implementation hells gate vx technique
swagkarna/Echelon-Stealer,stealer chrome v81 firefox v75 thirty different programs cryptowallets
cornflourblue/aspnet-core-3-jwt-refresh-tokens-api,aspnet core thirtyone api jwt authentication refresh tokens
chexiongsheng/puerts_unity_demo,unity demo puerts
riskydissonance/SharpCookieMonster,extracts cookies chrome
EntroPi-Games/Unity-Cloud-Shadows,animated cloud shadows asset unity
VerifyTests/DiffEngine,manages launching cleanup different tools
LeonBlade/BDTHPlugin,plugin ffxivquicklauncher help manipulating housing items
rvrsh3ll/Rubeus-Rundll32,run rubeus via rundll32
CodAffection/React-CRUD-with-Asp.Net-Core-Web-API,full stack react js crud aspnet core web
wxzz/CSharpFlink,realtime computing framework
serilog/serilog-expressions,embeddable minilanguage filtering enriching formatting serilog events ideal use json xml configuration
TonCunha/multi-microsoft-teams,launcher manage profiles open multiple instances microsoft teams desktop version compatible many accounts organizations tenants
3xpl01tc0d3r/Obfuscator,program designed obfuscate shellcode
DarkBullNull/VMP.NET-Kill,program help unpacking vmprotect
dotnet/datalab,repo experimentation exploring new ideas involving adonet ef core areas related net data
Unity-Technologies/com.unity.editoriterationprofiler,assists capturing frames profiler domain reloads unity editor compatible unity twenty thousand  one hundred ninetythree
Mr-B0b/SpaceRunner,tool enables compilation csharp program execute arbitrary powershell code without launching powershell processes use runspace
TheKingOfDuck/MatryoshkaDollTool,matryoshkadolltool
Fewes/TerrainPrettifier,small gpubased component designed aid cleaning refining satellitedem based terrains directly inside unity
GoogleCloudPlatform/functions-framework-dotnet,faas function service framework writing portable net functions
Yecats/UnityBehaviorTreeVisualizer,tool built unity draws graph representation behavior trees running scene
Ombrelin/plex-rich-presence,desktop app enable discord rich presence plex media server activity
cocosip/sharp-abp,abpvnext extension modules
JacobsDataSolutions/OrgManager,cqrs clean domaindriven design concepts aspnet core stack demo application fictional corporate organization management tool
LemonUIbyLemon/LemonUI,lemonui net fivem ragemp ragepluginhook scripthookvdotnet three
Tvtig/UnityLightsaber,lighsaber modelled blender brough life unity
WOA-Project/Lumia-Drivers,collection driver binaries lumia devices
handzlikchris/Unity.MissingUnityEvents,editor extension generate events executed property set eg transformposition transformrotation transformparent allows write event driven code debug property changes simple track easily customisable allow adding events different property setters types
leftp/VmdkReader,net forty console app browse vmdk vhd images extract files
microsoft/Audio-Manager-for-Unity,tool defining executing audio behaviors unity node based editor
BlueMystical/EDHM_UI,user interface edhm mod elite dangerous
JosefNemec/PlayniteExtensions,extensions playnite game launcher manager
Mxater/DualSenseSupport,preliminar dualsense
CSharpDesignPro/Navigation-Drawer-Sidebar-Menu-in-WPF,design navigation drawer sidebar menu wpf
ZHOURUIH/MyFramework,unityunity
marijnz/NativeOctree,octree native collection unity dots
wwh1004/ConfuserExTools,confuserex unpacking tools
jhrscom/JHRS,jhrs wpf framework used demonstrate use wpf xamarin build development framework presentation framework provides idea apply actual projects need complete functions
Unity-Technologies/Kinematica_Demo,kinematica demo project
AdAstra-LD/DS-Pokemon-Rom-Editor,new ds pokemon rom editor based nmuras two thousand twenty edition expanded loads new features bugfixes better usability
rotolonico/FirebaseWebGL,unity package makes use firebase javascript sdk implement basic realtime database functions webgl builds
ReverendThing/Carnivore,microsoft external attack tool
e-jlion/NetCoreDemo,aspnet core 3x demoidentityserve4
microsoft/CSS_SQL_Networking_Tools,tools used sql networking customer support team
boringsky/Unity_ChinesePainting,untiy chinese painting rendering
506638093/RichText,unityugui
dotnet/deployment-tools,repo contains code build net deployment tools installers supported platforms well sources net deployment tools
Executor-Cheng/Mirai-CSharp,csharpmiraiapi
blendogames/flotilla,source code tactical space game flotilla two thousand ten
patriksvensson/dotnet-example,dotnet tool list run examples
SolidAlloy/GenericUnityObjects,generic unityengineobjects
jianjipan/MES,csharpmes supersocketwpf
hougaard/Youtube-Video-Sources,source code youtube videos
knightswarrior/AppAutoUpdater,autoupdater library allows developers easily add auto update feature desktop windows macos linux application
YunxiuXu/Virus-School,unity
phi-lira/SmartTexture,unity tool pack texture channels single texture
sarkahn/dots-roguelike,traditional ascii roguelike built using unitys ecsdots framework
stella3d/SharedArray,zerocopy sharing managed native arrays unity
kagurazakasanae/Il2CppDumper-YuanShen,modified version il2cppdumper allows dump methods userassemblydll game genshin impact
amrali-eg/EncodingChecker,gui tool allows validate text encoding one files modified
fuluteam/ICH.Snowflake,idnet corek8s
binarythistle/S03E02---.NET-Core-3.1-MVC-REST-API,complete code net core thirtyone mvc rest api
AmplifyCreations/AmplifyColor,full sourcecode amplify color plugin unity
3gstudent/SharpRDPCheck,use check valid account remote desktop protocolsupport plaintext ntlmhash
WiiLink24/WiiLink24-Patcher,repository containing patchers help download channels
WalletConnect/WalletConnectSharp,csharp implementation walletconnect protocol
AzureAD/SCIMReferenceCode,reference code build scim endpoint automate provisioning
nabsul/kcert,kcert simple let us encrypt manager kubernetes
Unity-Technologies/TheHeretic-VFXCharacter,morgan vfx character heretic short film made unity
brunobritodev/AspNetCore.IQueryable.Extensions,linq extensions help build iqueryable expressions
spaceflint7/bluebonnet,implementation net platform top java virtual machine
tommybazar/TBRaymarchProject,allows volumetric rendering 3d data unreal engine
itewqq/MathpixCsharp,mathpixcsharp csharpmathpix windows
dje-dev/Ceres,ceres mcts chess engine research recreation
zcgonvh/CVE-2020-17144,weaponized tool cve202017144
WolvenKit/CyberCAT,cyberpunk two thousand seventyseven customization assistant tool work progress savegame editor
ruccho/WaterRW,waterrw 2d interactive water system unity
minism/fps-netcode,quakestyle multiplayer fps demo integrates number modern netcode techniques quality gameplay
sekkit/Verse.NET,single process online game server minimum design
oncemi/OnceMi.AspNetCore.OSS,aspnet coreminioosscoskodoobsbosoos
zachbarth/minimalist-game-framework,minimalist game framework style game engine use zachtronics
Aeroluna/NoodleExtensions,mod let us see cool things mappers put maps report issues reaxt
passthehashbrowns/SharpRDPThief,csharp implementation rdpthief steal credentials rdp
authindicators/svg-ps-converters,tools exporting svg tiny portablesecure format
keijiro/DofVfxSamples,dof particle sample unity vfx graph
TheWover/GhostLoader,ghostloader appdomainmanager injection
pluveto/Caplos,tool squeeze power capslock key
Airboi/CVE-2020-17144-EXP,exchange2010 authorized rce
rvrsh3ll/MSBuildAPICaller,msbuild without msbuildexe
StoreDev/StoreLib,storelib dotnet library provides apis interact various microsoft store endpoints
Yaxser/SharpPhish,using outlook com objects create convincing phishing emails without user noticing project meant internal phishing
geekoutnet/CollectiveOAuth,netcsharp net framework fortyfive four hundred sixtytwo netcore 31githubgiteecodingoschinaqqgooglefacebookteambitionstackoverflowpinterestgitlab
mixandjam/FFVII-TacticalMode,recreating tactical mode mechanic final fantasy vii remake
jhalon/SharpCall,simple poc demonstrating syscall execution csharp
mettoc/Abp.WorkflowCore,abpworkflowcorejsplumb
yaakov-h/Notepad.Extensions.Logging,net logging notepad
SteveDunn/PacManBlazor,pacman blazor webassembly
joaen/EasyIK,simple fast ik solver unity
Ingan121/BasicThemer2,apply basic theme windows vista7 windows vista10 without disabling dwm composition
jiangjinnan/InsideAspNetCore3,aspnet core three
srini0x00/dvta,damn vulnerable thick client app developed csharp net
perholmes/UnityAutoBundles,extension unitys addressables making easier distribute large projects keep mobile download size small
DSprtn/GTFO_VR_Plugin,plugin add full roomscale virtual reality support favorite game
gmenounos/kw1281test,vw kw1281 protocol test tool
TextusGames/UnitySerializedReferenceUI,ui unitys serealizedreference attribute allows change instance type field right editor
robinvanderknaap/authorization-server-openiddict,authorization server implemented openiddict
zwl568633995/AspNetCoreScaffolding,netcore
jfmaes/GG-AESY,hide cool stuff images
Razchek/Unispect,mono type definition field inspector unity games compiled mono
vesoapp/veso,open source media server
RedSiege/hot-manchego,macroenabled excel file generator xlsm using epplus library
piratesephiroth/TeconmoonWiiVCInjector,fork popular wii virtual console injector wii teconmoon
nccgroup/Carnivore,tool assessing onpremises microsoft servers authentication adfs skype exchange rdweb
EntroPi-Games/GPU-Line-of-Sight,gpu line sight field view visualization unity
cdians/youyiPUBG,pubg
FuzzySecurity/BlueHatIL-2020,bluehatil two thousand twenty staying bringing covert injection tradecraft net
checkymander/Carbuncle,tool interacting outlook interop red team engagements
BattleDawnNZ/ProceduralAnimation,procedural animation scripts unity
JonPSmith/EfCore.SchemaCompare,library compare ef cores model database databases schema
pshtif/RuntimeTransformHandle,runtime transform handle unity
CodeMazeBlog/identity-aspnetcore,repo contains source code identity aspnet core series code maze
admin-shell-io/aasx-package-explorer,csharp based viewer editor asset administration
JamesMcMahon/monocle-engine,mirror maddy thorsons csharp game engine monogame csharp game engine based towerfall ascension core engine code
SardineFish/SRP-Demos,demos custom unity scriptable render pipeline
Wyamio/Wyam,modular static content static site generator
jfmaes/TrustJack,yet another poc
mbaske/grid-sensor,grid sensor components unity mlagents
oakwarrior/DeathAndTaxes,source code placeholder gameworks debut title death taxes coding
dynamiquel/NVIDIA-Ansel-AI-Enhancer,nvidia ansel ai enhancer app quickly made takes advantage nvidias ansel rtx ai upres allow users upscale image 8k whiles adding quality
louislam/lazy-compress-h265,compress convert video files h265 hevc format oneclick make size much smaller
OfficeDev/microsoft-teams-apps-faqplus,faq plus friendly qa bot brings human loop unable help answer knowledge base
microsoft/Armada,armada tool writing proving correct highperformance concurrent programs
haolange/InfinityTexture,runtime virtual texture unity urp
TheAllenChou/unity-physics-constraints,minimalistic educational constraintbased physics framework
3dudu/agv-wcs,agv
pardeike/HarmonyRimWorld,rimworld mod installs harmony mods
Azure-Samples/Serverless-APIs,guidance building serverless apis azure functions api management
StefanJo3107/ASCII-Rendering-Shader-in-Unity,unity image effect replicates retro ascii rendering seen games rogue dwarf fortress
teduinternational/eShopSolution,eshopsolution tutorial solution everyone using net core thirtyone
laicasaane/unity-addressables-manager,unity addressables manager
aws/aws-dotnet-deploy,opinionated tooling simplifies deployment net applications aws
ivaylokenov/Domain-Driven-Design-with-ASP.NET-Core-Microservices,domaindriven design aspnet core microservices
xujiangjiang/Easy-Bug-Manager,easy bug manager tool bug management made using wpfbugwpf
davidfowl/IISCrossover,prototype running aspnet aspnet core iis pipeline
PacktPublishing/-Learn-WinUI-3.0,learn winui thirty published packt
ShrineGames/UnityMirrorTutorials,code unity mirror networking tutorial series
aboudoux/BlazorAnimation,blazor component based animatecss easly animate content
drakewill-CRL/ROMSorter,detect rename roms games
756915370/LuaRuntimeHotfix,lua runtime update module unity
vavilichev/Lukomor,lukomor architectural framework unity includes mvvm implementation di
jamesmontemagno/app-ac-islandtracker,animal crossing island tracking mobile app
vrchat-community/EasyQuestSwitch,easyquestswitch unity editor tool developed vrchat world creators automate changes components within scene soon build platform changed pc android oculus quest vice versa
jglim/CaesarSuite,library applications work dmlr diagnostics cbf files
Nrjwolf/unity-auto-attach-component-attributes,auto attach components inspector
hexfati/SharpDllLoader,simple csharp executable invokes arbitrary method arbitrary csharp dll
jspuij/TwokaB,blazor webview control wpf android macos ios run blazor net core mono natively inside webview
mixandjam/Pikmin-Gameplay,recreating basic gameplay pikmin
ZhengDaoWang/PrismMetroSample,solution demonstrates wpf implements mvvm pattern using prism80 anet five environment ui control references mahapps control library
Myster-Tee/TinfoilWebServer,install packages server
ImpromptuNinjas/UltralightSharp,multiplatform net bindings ultralight project
EasyAbp/WeChatManagement,easyabpabpwechatabp
JeremieCHN/MetaDataStringEditor,modify string file globalmetadatadat
Azure/template-analyzer,template scanner security misconfiguration best practices
stijnvdb88/Snap.Net,crossplatform control client player
rvrsh3ll/NoMSBuild,msbuild without msbuildexe
